Edad,ID_DEPTO,Poblacion
0,1,377
0,2,192
0,3,100
0,4,336
0,5,190
0,6,523
0,7,376
0,8,512
0,9,200
0,10,450
0,11,47
0,12,537
0,13,432
0,14,637
0,15,164
0,16,133
0,17,111
0,18,437
0,19,394
0,20,132
0,21,591
0,22,5530
0,23,136
0,24,43
0,25,34
0,26,234
0,27,300
0,28,140
0,29,37
0,30,1136
0,31,14
0,32,785
0,33,205
0,34,385
0,35,242
0,36,113
0,37,2845
0,38,472
0,39,501
0,40,287
0,41,210
0,42,691
0,43,3263
0,44,496
0,45,2287
0,46,459
0,47,1533
0,48,314
0,49,64
0,50,535
0,51,149
0,52,681
0,53,209
0,54,3277
0,55,1062
0,56,375
0,57,241
0,58,31
0,59,1276
0,60,371
0,61,453
0,62,331
0,63,656
0,64,115
0,65,173
0,66,1019
0,67,722
0,68,26
0,69,166
0,70,1046
0,71,607
0,72,766
0,73,274
0,74,6435
0,75,1897
0,76,15178
0,77,4630
0,78,4846
0,79,1137
0,80,6324
0,81,1140
0,82,3589
0,83,2283
0,84,1137
0,85,168
0,86,259
0,87,166
0,88,198
0,89,887
0,90,2292
0,91,94
0,92,62
0,93,21
0,94,89
0,95,655
0,96,758
0,97,445
0,98,495
0,99,270
0,100,20
0,101,199
0,102,121
0,103,386
0,104,12
0,105,1119
0,106,293
0,107,633
0,108,1429
0,109,650
0,110,180
0,111,571
0,112,21681
0,113,176
0,114,54
0,115,3371
0,116,803
0,117,293
0,118,1166
0,119,425
0,120,168
0,121,2456
0,122,87
0,123,4621
0,124,121
0,125,983
0,126,622
0,127,596
0,128,161
0,129,256
0,130,153
0,131,426
0,132,190
0,133,2999
0,134,763
0,135,13
0,136,611
0,137,271
0,138,199
0,139,1443
0,140,529
0,141,360
0,142,2986
0,143,37
0,144,1566
0,145,78
0,146,1298
0,147,244
0,148,618
0,149,2164
0,150,2963
0,151,496
0,152,3656
0,153,492
0,154,2112
0,155,633
0,156,55
0,157,976
0,158,365
0,159,193
0,160,327
0,161,6225
0,162,121
0,163,34
0,164,2901
0,165,138
0,166,167
0,167,466
0,168,138
0,169,360
0,170,13
0,171,484
0,172,559
0,173,93
0,174,140
0,175,171
0,176,212
0,177,90
0,178,194
0,179,164
0,180,118
0,181,672
0,182,935
